"@title","ไทย"
"#00065","Nothing like a lazy day by the river."
"#00066","I can't get enough of seafood!"
"#00067","Snowball fight? Snowball fight!"
"#00068","I need gifts for all the kids!"
"#00069","I'm craving some nice, warm soup."
"#00070","I came to learn about town building."
"#00071","Feelin' like I need some new armor."
"#00072","Can't have hot pot without good veggies."
"#00073","Can't build an igloo without snow."
"#00074","Candy is the source of my power!"
"#00075","Anyone got any cookies?"
"#00076","Only the best ingredients will do!"
"#00077","I need to know more about magic."
"#00078","Food, glorious food! Give me more!"
"#00079","I need a meal I can really bite into."
"#00080","I'll never give up!"
"#00081","I watch my health."
"#00082","Time to stop and smell the flowers."
"#00083","I've got a passion for fashion."
"#00084","Hot springs with my monster pals!"
"#00085","I like dank, creepy places..."
"#00086","I want an international education."
"#00087","Where's the treasure?!"
"#00088","How safe are castles, really?"
"#00089","I like a sense of fragility."
"#00090","I can't put what I want into words."
"#00091","I prefer an exciting walk."
"#00092","Tasty meat, all the way!"
"#00093","I can't get enough of sparkly stuff!"
"#00094","I want a big, swashbuckling adventure."
"#00095","I want to learn about other regions."
"#00096","I prefer my buildings tall."
"#00097","I'd like to find a place to relax."
"#00098","I need quality goods for cheap!"
"#00099","I need something to inspire me."
"#00100","Can't beat a walk in the great outdoors!"
"#00101","I've always wanted to grow my own crops."
"#00102","A walk in the forest will help me find myself."
"#00103","I've got munchies for bananas."
"#00104","I hate scary stuff..."
"#00105","I need somewhere to train."
"#00106","I'm on the lookout for hidden gems."
"#00107","I'd like to find a nice restaurant."
"#00108","Any good accessories here?"
"#00109","Music and snow are the two things I love."
"#00110","I love the thrill of the fight!"
"#00111","What's the secret to becoming popular?"
"#00112","I...love...flowers!"
"#00113","Intense battles are my jam!"
"#00114","I just want a peaceful life."
"#00115","Can I show off my power here?"
"#00116","Castles always make me feel at ease."
"#00117","I want to get rich quick!"
"#00118","All I want is a place to belong."
"#00119","Bandana"
"#00120","Sun Bandana"
"#00121","Baseball Cap"
"#00122","Sunset Cap"
"#00123","Magic Cap"
"#00124","Wizard's Hat"
"#00125","Monk Hat"
"#00126","Cleric Hat"
"#00127","Feather Beret"
"#00128","Hunter Beret"
"#00129","Arctic Cap"
"#00130","Santa Hat"
"#00131","Bunny Mask"
"#00132","Bear Mask"
"#00133","Fish Mask"
"#00134","Vacation Hat"
"#00135","Fox Mask"
"#00136","Pumpkin Head"
"#00137","Cake Hat"
"#00138","Crown"
"#00139","Soldier Helm"
"#00140","Adventurer Helm"
"#00141","Knight Helm"
"#00142","Bronze Helm"
"#00143","Shadow Helm"
"#00144","Silver Helm"
"#00145","Golden Helm"
"#00146","Circlet"
"#00147","Silver Circlet"
"#00148","Hero Circlet"
"#00149","Wooden Shield"
"#00150","Iron Shield"
"#00151","Round Shield"
"#00152","Square Shield"
"#00153","Buckler"
"#00154","Lion Shield"
"#00155","Shell Shield"
"#00156","Scutum"
"#00157","Feather Shield"
"#00158","Wicked Shield"
"#00159","Protector"
"#00160","Platinum Shield"
"#00161","Legendary Shield"
"#00162","Leather Vest"
"#00163","Arctic Vest"
"#00164","Linen Clothes"
"#00165","Luxury Silk Clothes"
"#00166","Apron"
"#00167","Kaftan"
"#00168","Green Overalls"
"#00169","Noble Outfit"
"#00170","Leather Robe"
"#00171","White Robe"
"#00172","Desert Outfit"
"#00173","Forest Outfit"
"#00174","Suit"
"#00175","Fancy Suit"
"#00176","Regular Pants"
"#00177","Protective Pants"
"#00178","Grass Shorts"
"#00179","Leather Armor"
"#00180","Chainmail"
"#00181","Scale Mail"
"#00182","Golden Armor"
"#00183","Platinum Armor"
"#00184","Blue Cape"
"#00185","Crimson Cape"
"#00186","Iron Armor"
"#00187","Scarlet Armor"
"#00188","Hero Armor"
"#00189","Kimono"
"#00190","Chic Kimono"
"#00191","Dress"
"#00192","Lab Coat"
"#00193","Grass Skirt"
"#00194","Bunny Costume"
"#00195","Bear Costume"
"#00196","Cape"
"#00197","Pompon Cape"
"#00198","Royal Cloak"
"#00200","Summer BBQ"
"#00201","Boosts adventurer <pic=moti0>Satisfaction."
"#00202","Try lots of choice meats."
"#00204","Watermelon Pinata"
"#00205","Watch the seeds go flying."
"#00207","Stew Party"
"#00208","Have some nice, warming stew."
"#00210","Cake Contest"
"#00211","Make and eat cakes."
"#00213","Strawberry Picking"
"#00214","Pick and eat fresh strawberries."
"#00216","Sushi Party"
"#00217","Try a selection of different sushi dishes."
"#00219","Octopus Fritt-A-Thon"
"#00220","Enjoy piping-hot octopus fritters."
"#00222","Marathon"
"#00223","Boosts adventurer <pic=para02_0>Health."
"#00224","Have a friendly race."
"#00226","Treasure Hunt"
"#00227","Dig up treasure together - X marks the spot!"
"#00229","Track Meet"
"#00230","Compete in different events, fair and square."
"#00232","Joint Training"
"#00233","Boosts adventurer <pic=para02_1>Strength."
"#00234","Strengthen your bonds through some tough training."
"#00236","Sumo Tournament"
"#00237","Get in the ring and show your stuff."
"#00239","Training Camp"
"#00240","Have a pillow fight before bed."
"#00242","Melee Training"
"#00243","Boosts adventurer <pic=para02_2>Dexterity."
"#00244","Learn some simple techniques."
"#00246","Potter's Hut"
"#00247","Create some works of art with a potter's wheel."
"#00249","Weapons Lecture"
"#00250","Learn new techniques from a special instructor."
"#00252","Weight Lifting"
"#00253","Boosts adventurer <pic=para02_3>Toughness."
"#00254","Be careful not to strain yourself."
"#00256","Mallet Mania"
"#00257","Good rhythm is the key to success."
"#00259","Sea Training"
"#00260","Be careful not to get stung by jellyfish."
"#00262","Magic Theory 1"
"#00263","Boosts adventurer <pic=para02_4>Magic."
"#00264","A beginner's course in the arcane arts."
"#00266","Mystery Solvers Meet-Up"
"#00267","Read and discuss the latest murder mysteries."
"#00269","=MID(#00262,1,-1)&'2'"
"#00270","An advanced course in the arcane arts."
"#00272","Astronomy Night"
"#00273","Boosts adventurer <pic=para02_5>Luck."
"#00274","Wish upon a shooting star."
"#00276","Bingo Night"
"#00277","What you win comes down to luck."
"#00279","Game Night"
"#00280","Identify how to improve your chances of winning."
"#00282","Art Show"
"#00283","Boosts town <pic=raup0>Popularity."
"#00284","Appeal to artsy citizens."
"#00286","Music Festival"
"#00287","Be soothed by classical music."
"#00289","Product Show"
"#00290","Exhibit local products."
"#00292","Fireworks Show"
"#00293","Ooh! Aah!"
"#00295","Dance Party"
"#00296","Invite townspeople to a dance."
"#00298","Fashion Show"
"#00299","Show off the hottest new outfits."
"#00301","Cooking Class"
"#00302","Learn some simple but tasty recipes."
"#00304","Mushroom Picking"
"#00305","Pick some fresh, tasty mushrooms."
"#00307","Book Club"
"#00308","Improve literacy and become a more cultured town."
"#00310","Karaoke"
"#00311","Sing your heart out, just for the fun of it."
"#00313","Moon Viewing"
"#00314","Have a picnic under the full moon."
"#00316","Museum Tour"
"#00317","View cultural treasures from around the world."
"#00319","Circus Party"
"#00320","Attract attention to the town."
"#00322","Festival"
"#00323","Try out all the food stalls you can find!"
"#00325","Litter Pick-Up"
"#00326","Clean up to boost popularity."
"#00328","Fire Safety Patrol"
"#00329","Patrol to preserve safety."
"#00331","Monsterology Seminar"
"#00332","Boosts monster <pic=fri0>Friendship."
"#00333","Take that first step toward coexistence."
"#00335","Expand Town 1"
"#00336","Expand your town."
"#00337","Expands your town."
"#00339","=MID(#00335,1,-1)&'2'"
"#00340","Expands your town even further."
"#00342","Enlarge Cauldron 1"
"#00343","Enlarge the Magic Cauldron."
"#00344","Makes the Magic Cauldron larger."
"#00346","=MID(#00342,1,-1)&'2'"
"#00347","Makes the Magic Cauldron even larger."
"#00349","Add Cauldron"
"#00350","Add a Cauldron."
"#00351","Gives you access to a Magic Cauldron."
"#00353","Harbor Construction"
"#00354","Build a harbor."
"#00355","Build a harbor for your town."
"#00356","Bread"
"#00357","Curry"
"#00358","Ramen Noodles"
"#00359","Udon Noodles"
"#00360","Stew"
"#00361","Sushi"
"#00362","Pizza"
"#00363","Meat Bun"
"#00364","Octopus Fritters"
"#00365","Ghul"
"#00366","Green Tea"
"#00367","Juice"
"#00368","Coffee"
"#00369","Milk"
"#00370","Fancy Soda"
"#00371","Soda Pop"
"#00372","Black Tea"
"#00373","Carrot"
"#00374","Cucumber"
"#00375","Eggplant"
"#00376","Bell Pepper"
"#00377","Onion"
"#00378","Sweet Potato"
"#00379","Pumpkin"
"#00380","Tomato"
"#00381","Mushrooms"
"#00382","Daikon Radish"
"#00383","Avocado"
"#00384","Garlic"
"#00385","Corn"
"#00386","Watermelon"
"#00387","Melon"
"#00388","Strawberry"
"#00389","Orange"
"#00390","Dragon Fruit"
"#00391","B-gro"
"#00392","Peach"
"#00393","Pineapple"
"#00394","Lemon"
"#00395","Apple"
"#00396","Coconut"
"#00397","Ham"
"#00398","Meatballs"
"#00399","Steak"
"#00400","Octopus"
"#00401","Squid"
"#00402","Tuna"
"#00403","Shrimp"
"#00404","Cheese"
"#00405","Yogurt"
"#00406","Egg"
"#00407","Soy Beans"
"#00408","Honey"
"#00409","Ice Cream"
"#00410","Cotton Candy"
"#00411","Crepe"
"#00412","Donut"
"#00413","Cookie"
"#00414","Shaved Ice"
"#00415","Kuch"
"#00416","Red Bean Cake"
"#00417","Roast Sweet Potato"
"#00418","Chocolate"
"#00419","Steamed Cake"
"#00420","Tapioca"
"#00421","Nata de Coco"
"#00422","Battle"
"#00423","Food"
"#00424","Shopping"
"#00425","Entertainment"
"#00426","Study"
"#00427","Nature"
"#00428","Adventure"
"#00429","Magic"
"#00430","House"
"#00431","Inn"
"#00432","Ship"
"#00433","Tower"
"#00434","Castle"
"#00435","Hot Spring"
"#00436","Windmill"
"#00437","Ride"
"#00438","Flight"
"#00439","Weapons"
"#00440","Armor"
"#00441","Accessories"
"#00442","Merch"
"#00443","Letter"
"#00444","Fireworks"
"#00445","Treasure"
"#00446","Gold"
"#00447","Rare"
"#00448","Map"
"#00449","Medicine"
"#00450","Books"
"#00451","Guns"
"#00452","Bows"
"#00453","Cooking"
"#00454","Dessert"
"#00455","Vegetables"
"#00456","Fruit"
"#00457","Drinks"
"#00458","Noodles"
"#00459","Lunch"
"#00460","Rice Cake"
"#00461","Spice"
"#00462","Meat"
"#00463","=#00360"
"#00464","Soup"
"#00465","Snack"
"#00466","Tree"
"#00467","Turf"
"#00468","Flower"
"#00469","Water"
"#00470","River"
"#00471","Ocean"
"#00472","Star"
"#00473","Crag"
"#00474","Poison"
"#00475","Ore"
"#00476","Metal"
"#00477","Gem"
"#00478","Fire"
"#00479","Ice"
"#00480","Lightning"
"#00481","Snow"
"#00482","Plain"
"#00483","Forest"
"#00484","Tropical"
"#00485","Arctic"
"#00486","Eastern"
"#00487","Underworld"
"#00488","Animal"
"#00489","Monster"
"#00490","Monkey"
"#00491","Dragon"
"#00492","Goblin"
"#00493","Ghost"
"#00494","Bone"
"#00495","Beefy"
"#00496","Jiggly"
"#00497","Beast"
"#00498","Robot"
"#00499","Bug"
"#00500","Aquatic"
"#00501","Sprite"
"#00502","Clown"
"#00503","Hero"
"#00504","Merchant"
"#00505","Knight"
"#00506","Aristocrat"
"#00507","Demon"
"#00508","Wrestler"
"#00509","Kairobot"
"#00510","Ninja"
"#00511","Mascot"
"#00512","Pirate"
"#00513","Popular"
"#00514","Culture"
"#00515","Music"
"#00516","Training"
"#00517","Rest"
"#00518","Fortune"
"#00519","Relax"
"#00520","Health"
"#00521","Party"
"#00522","Chance"
"#00523","Dance"
"#00524","Curse"
"#00525","Crafts"
"#00526","History"
"#00527","Art"
"#00528","Luxury"
"#00529","Horror"
"#00530","Mystery"
"#00531","Wild"
"#00532","Cute"
"#00533","Resort"
"#00534","Royal"
"#00535","Holy"
"#00536","Dark"
"#00537","Antique"
"#00538","Eco"
"#00539","Safe"
"#00540","Danger"
"#00541","Fashion"
"#00542","John Dungeon"
"#00543","Terra Steel"
"#00544","Eddie Riverside"
"#00545","Tony Stonebridge"
"#00546","Flora Cherrytree"
"#00547","Fido Malkin"
"#00548","Pepe Mache"
"#00549","Sam Forrest"
"#00550","Topper March"
"#00551","Virginia White"
"#00552","Aria Puccini"
"#00553","Bronson Schwartz"
"#00554","Jesse Lightfoot"
"#00555","Sean McLeod"
"#00556","Moe Hardy"
"#00557","Gentleman Jorg"
"#00558","Rocky Steel"
"#00559","Sifu Tao"
"#00560","Rusty Bristles"
"#00561","Fluffie Kiss"
"#00562","Marcus Matheson"
"#00563","Tiger Browne"
"#00564","Emi Crawford"
"#00565","Flash Norden"
"#00566","Lenny Blooper"
"#00567","Gilly Gamesh"
"#00568","Wulf Bane"
"#00569","Sandy Green"
"#00570","Rex Corgi"
"#00571","Aqua Pendragon"
"#00572","Arne Washington"
"#00573","Clemmy Tyne"
"#00574","Maryanne Rangel"
"#00575","Wolfgang Smith"
"#00576","Javier Mitchell"
"#00577","Chunk Warner"
"#00578","Masque Mann"
"#00579","Wodan Munin"
"#00580","Donkey Hotty"
"#00581","Bozo Harmon"
"#00582","Fran Clamm"
"#00583","Shiny Friday"
"#00584","Donny Duke"
"#00585","Polly Quartz"
"#00586","Ron Young"
"#00587","Harly Potler"
"#00588","Edmund Norgay"
"#00589","Bambi Dunagan"
"#00590","Chimpan Z"
"#00591","Rachel Jaggs"
"#00592","Casey Rogers"
"#00593","Nelson Law"
"#00594","Marion Dreyfus"
"#00595","Tomahawk Hawkins"
"#00596","Four-Eyes Fernandez"
"#00597","Kitty Pawson"
"#00598","Silverback George"
"#00599","Deejay Carson"
"#00600","Babe Bunyan"
"#00601","Arthur Ambrosius"
"#00602","Chung Lailai"
"#00603","Jeanne Voltaire"
"#00604","Lou Sunfish"
"#00605","Serenity Beech"
"#00606","Chic Shish Swinton"
"#00607","Sid Pervia"
"#00608","Gentle Jack"
"#00609","Elsa Anderson"
"#00610","Roget Grammar"
"#00611","Lance Alot"
"#00612","Jan Harrier"
"#00613","Neal Kennedy"
"#00614","Ollie MacDonald"
"#00615","May Akiba"
"#00616","Shelton Drizzle"
"#00617","Violet Rivera"
"#00618","Jesse Beckham"
"#00619","""Memento"" Murray"
"#00620","Sandy Claus"
"#00621","Harry Gorn"
"#00622","Mikey Mash Jr."
"#00623","Dianna Moon"
"#00624","Andre Sweats"
"#00625","Stella Gesundheit"
"#00626","Kandi Smith"
"#00627","Bunbun Lapin"
"#00628","""Twinkle-Toes"" Greene"
"#00629","Crystal Wasabi"
"#00630","Freddie Armstrong"
"#00631","Milk Puddingsky"
"#00632","Heather Maroni"
"#00633","Kevin Parkes"
"#00634","Igor Lowe"
"#00635","Freya Hottman"
"#00636","Mike Tully"
"#00637","Silva Astra"
"#00638","Redd DeVille"
"#00639","""Maximum"" Bulk"
"#00640","Junpei Neun"
"#00641","Jill Nabath"
"#00642","Dutch Hagen"
"#00643","Angie Jelly"
"#00644","Goldie Neptune"
"#00645","Sam Ganges"
"#00646","Skull Bismuth"
"#00647","Jackson Ripper"
"#00648","Ow!&Yow!&Yowch!&Oof!&Urgh!&Gyargh!&Ngah!&Yargh!&Owch!&Yeesh!&Argh!&Nrgh!&Hrgh!&Eek!"
"#00649","Atk"
"#00650","Hah!&Yeah!&Rar!&How's this!&Kiai!&Rawr!&Hrah!&There!&Yah!&Hiyah!&Grawr!&Uryah!&Krah!&Eat it!&Take this!"
"#00651","Down"
"#00652","Oof...&Too bad.&I lost.&Nooo!&So close.&Hmm...&No good.&I quit!&Next time...&Whoa!&Yargh!&Too strong!&I'm out."
"#00653","=#00651"
"#00654","I'm beat.&Healing...&So tired.&I'm hungry.&Why, you...!&Whoopsie!&*sigh*&I just can't.&Aw, man!&Sorry...&I'm spent.&Urgh..."
"#00655","I'm back!&That's better.&It's on!&Revived!&Take this!&Revenge!&All healed.&Full Recovery!&Here we go!&I won't lose!&No surrender!&GUTS!&You'll pay!"
"#00656","Yeah!&I won!&Victory!&I did it!&Whoa!&Nice!&Haha!&How's that?&Phew!&All right!&Heheh.&Woo!&Yay!&Woohoo!&Gotcha!"
"#00657","Battle!&Let's go!&Get 'em!&Hiyah!&Take this!&Get pumped!&Go, go, go!&Fight!&Get ready!&On it!&I've got this!"
"#00658","I'm here!&Got your back!&Backup's here!&I'll help.&Let's do this!&Keep it up.&Tagging in.&Need a hand?&I'm DTF!&Fight on!"
"#00659","A nice stroll.&Just walkin'.&So peaceful.&Doo dee doo...&Hm-hmm...&Exploring!&So chill.&I'm bored.&Phew...&So hungry.&Nice day.&Lovely weather.&It's nice here.&Hmm...&Chillaxin'."
"#00660","Nice!&I like it.&Amazing!&Awesome!&Cool.&I'll be back.&Pretty cool.&Not bad.&Yeah!&Sweet.&Hm...&That's good.&Wonderful!&Sick!&This is it!"
"#00661","Rest up.&Take it easy.&Break time!&All done.&Just relax.&It's all good.&Phew...&I dunno...&Zzz..."
"#00662","Let's go!&We're off!&Let's do it!&Off we go!&Here we go!&Not so fast.&Adventure!&Heheh.&Onward!"
"#00663","I'm hungry!&That's all.&Time to quit.&This'll do."
"#00664","There we go.&Need help?&Hold on!&Stay strong.&You okay?&Here to help!&Back to town!&Rescue mission!&I got you.&You're fine.&Alleyoop!"
"#00665","A lil' more!&Keep it up!&Hold on!&Keep going!&Fight on!&Suck it up!&Go for it!"
"#00666","Can't get back..."
"#00667","Let's do this!&Oh boy!&Here we go.&Let's do it!&Adventure!&Onward!&It's scary...&Vae victis!&Stay cool.&I wonder...&Deep breath...&Yikes..."
"#00668","I'm here!&Caught up.&Here I am!&I'm late!&Huff, huff!&Wait up!&Here I go!&Sorry, guys...&Back to action!&Yeesh..."
"#00669","Got item!&Gotcha!&Nice!&It's mine!&Treasure!&Got it!&Heheh!&Ooh, shiny."
"#00670","We did it!&Got ya!&Yeeeah!&Huff, huff.&I won!&Phew!&Victory!&Keep going!&We won!&No prob!"
"#00671","Mission complete!&Goal!&Clear!&We did it!&Done!&Finished!&Woohoo!&All right!"
"#00672","Hi there!&Let's get going!&Hello.&Time to go!&Hit the road!&There you are.&Hey there.&Heya!&Let's go!&'Sup.&Hoo boy!&Good to meet ya.&Here we go!&Get hyped!"
"#00673","Hi there!&Nice!&I'm on it!&Got your back.&I overslept!&Let's do this.&Hi!&Hey there.&Let's go!&I'm on it!&What's next?&I got this!&I'm pumped!&Go, go, go!"
"#00674","All alone...&No good.&Help...!&Anyone there?&Nrgh...&Spacing out...&...&Erm...&I'm sleepy.&Need help.&I'll sit tight.&Can't go on.&Not promising...&Hmm..."
"#00675","=#00651"
"#00676","=#00452"
"#00677","=#00451"
"#00678","Adventurer HQ"
"#00679","A great place to sally forth on quests!"
"#00680","Shopaholic's Paradise"
"#00681","Hidden gems, daily necessities, it's all here!"
"#00682","Gourmet's Dream"
"#00683","The ideal place to chow down!"
"#00684","All Natural"
"#00685","Get back to nature and enjoy the wonderful scenery!"
"#00686","Coming Up Roses"
"#00687","Enjoy plenty of parks and greenery!"
"#00688","Luxury Getaway"
"#00689","Pack your bags for the vacation of a lifetime!"
"#00690","Festival Grounds"
"#00691","Plenty to celebrate all year round!"
"#00692","Muscle Up"
"#00693","Bro, do you lift?"
"#00694","Nature's Bounty"
"#00695","Sample the delights of an organic diet!"
"#00696","A Touch of Class"
"#00697","Dedicated to the finer things in life!"
"#00698","Cultural Center"
"#00699","Immerse yourself in arts, music, and crafts!"
"#00700","Dessert Oasis"
"#00701","Indulge your sweet tooth to the max!"
"#00702","Ninja Village"
"#00703","Practice your stealthy skills here!"
"#00704","Horror Show"
"#00705","Test your courage in this spooky town!"
"#00706","Spice of Life"
"#00707","For the tastiest curry, look no further!"
"#00708","Fairyland"
"#00709","Wall-to-wall cute as far as the eye can see!"
"#00710","Rest Stop"
"#00711","Get away from it all with a little R&R!"
"#00712","Unassailable Fortress"
"#00713","It's important for the residents to feel safe!"
"#00714","Boot Camp"
"#00715","Train to become an adventurer here!"
"#00716","Shooting Gallery"
"#00717","Get to grips with the latest long-range weapons!"
"#00718","Hot Stuff"
"#00719","This town's one spicy meatball!"
"#00720","Secret to Long Life"
"#00721","Eat well, sleep well, live well!"
"#00722","Dairy Kingdom"
"#00723","Crammed with milky goodness!"
"#00724","Connected City"
"#00725","Public transport still running even in deep snow!"
"#00726","Double Sweet"
"#00727","Be sure to brush your teeth!"
"#00728","Magic Campus"
"#00729","Recommended for up-and-coming mages!"
"#00730","Four Seasons"
"#00731","A symphony of changing colors!"
"#00732","Bastion of Tradition"
"#00733","Castles just like in the olden times!"
"#00734","Supernatural Sleuthing"
"#00735","No mystery too cryptic!"
"#00736","Ghost Hunter HQ"
"#00737","There's something strange in this neighborhood!"
"#00738","Adventurer HQ 2"
"#00739","Take your quests to the next level!"
"#00740","Shopaholic's Paradise 2"
"#00741","Get ready to go on a spree!"
"#00742","Gourmet's Dream 2"
"#00743","A journey into a world of amazing flavors!"
"#00744","Windmill Wonderland"
"#00745","Picturesque scenery and clean energy!"
"#00746","Fantasy World"
"#00747","A land of pure imagination!"
"#00748","Summer Retreat"
"#00749","Work up a sweat in the tropical heat!"
"#00750","Home Cooking"
"#00751","A real taste of home!"
"#00752","Snowball Fighters"
"#00753","Scoop, roll, throw, hit, duck!"
"#00754","Sensory Stimulation"
"#00755","Get hooked on unique textures!"
"#00756","Dessert Buffet"
"#00757","There's always room for more!"
"#00758","Magical Arena"
"#00759","Fight with honor, young mages!"
"#00760","Fall Retreat"
"#00761","Watch the leaves falling with a good book!"
"#00762","Wide Appeal"
"#00763","Popular with everyone from ages 9 to 99!"
"#00764","Soft & Squishy"
"#00765","A town of infinite fluff!"
"#00766","High Risk"
"#00767","A dangerous town for thrill seekers!"
"#00768","Historic"
"#00769","Step into a by-gone era!"
"#00770","Sea Breeze"
"#00771","Enjoy fresh fish and salty sea air!"
"#00772","Living in Harmony"
"#00773","Can humans and monsters be friends?"
"#00774","Rich in Lycopene"
"#00775","Packed with rosy-red fruit and vegetables!"
"#00776","Primate Playground"
"#00777","Go ape with some friendly monkeys!"
"#00778","Vacation Resort"
"#00779","Bask in the sun all day long!"
"#00780","Exotic Cuisine"
"#00781","Try fruit from all around the world!"
"#00782","Sub Zero"
"#00783","Hone your skills in the freezing cold!"
"#00784","False Spring"
"#00785","When will all this ice and snow melt?"
"#00786","Enigmas Abound"
"#00787","Fresh mysteries behind every corner!"
"#00788","Edutainment Center"
"#00789","Studying can be fun!"
"#00790","Bubbling Away"
"#00791","What's cooking? Smells good!"
"#00792","Will of the Warrior"
"#00793","Step into the dojo!"
"#00794","Arcade Town"
"#00795","Roll the dice! Is luck on your side?"
"#00796","Darkest Depths"
"#00797","Surrender to the darkness!"
"#00798","=MID(#00738,1,-1)&'3'"
"#00799","For experts only!"
"#00800","=MID(#00740,1,-1)&'3'"
"#00801","Shop till you drop!"
"#00802","=MID(#00742,1,-1)&'3'"
"#00803","I can't eat another bite!"
"#00804","Entomologist Hangout"
"#00805","Grab your bug-catching net and have fun!"
"#00806","Talk to the Trees"
"#00807","Take off your shoes and commune with nature!"
"#00808","Fireworks Factory"
"#00809","Time to light up the sky!"
"#00810","Music in the Air"
"#00811","Dance to the rhythm of life!"
"#00812","Happy Holidays"
"#00813","Festive fun all year round!"
"#00814","Chillaxed"
"#00815","Cool off with a little ""me"" time!"
"#00816","Elemental Harmony"
"#00817","Three elements existing as one!"
"#00818","Cake for Every Meal"
"#00819","Have your cake and eat it!"
"#00820","East Meets West"
"#00821","A traditional Eastern-style castle town!"
"#00822","Lost City of Gold"
"#00823","See treasures no one else has seen!"
"#00824","Ghost Town"
"#00825","Don't get cursed!"
"#00826","Trick or Treat"
"#00827","Socialize with ghouls and ghosts!"
"#00828","Gold Rush"
"#00829","Find some treasure and strike it rich!"
"#00830","Hero Stomping Ground"
"#00831","Who among you will be the best?"
"#00832","Amusement Park"
"#00833","Fun days out for all the family!"
"#00834","Greenhouse"
"#00835","Photosynthesize in the sunshine!"
"#00836","Dreamscape"
"#00837","Is this real life?"
"#00838","Party Town"
"#00839","Work hard, party harder!"
"#00840","Angler's Horizon"
"#00841","Cast your line!"
"#00842","Quality Wares"
"#00843","Shop for the best items and gear!"
"#00844","Melting Pot"
"#00845","Warm yourself with piping hot stew!"
"#00846","Sophisticated"
"#00847","Get a taste for the finer things in life!"
"#00848","Mystic Studies"
"#00849","Junior mages, this is your time!"
"#00850","Phantasmagoria"
"#00851","One thousand ghosts parade tonight!"
"#00852","Multicultural"
"#00853","A new world order!"
"#00854","Tipping the Scales"
"#00855","Take a ride through dragon country!"
"#00856","Final Dungeon"
"#00857","The point of no return!"
"#00858","Awards Ceremony"
"#00859","Cancel Quest"
"#00860","=#00349"
"#00861","Your marketing helped to attract more customers!"
"#00862","Some of your customers went to a rival store instead."
"#00863","You won over some new customers from a rival store!"
"#00864","<0><br>complete!"
"#00865","=#00864"
"#00866","Holding the <0> increased everybody's Satisfaction!"
"#00867","<0> has ranked up! Everyone is delighted!"
"#00868","Completing the quest increased your town's popularity!"
"#00869","The adventurers are disappointed that the quest was canceled..."
"#00870","Everybody's talking about <0>. Your town's more popular than ever!"
"#00871","<0> set a new record!"
"#00872","<0> has joined you!"
"#00873","This town will be known as<br><0>!"
"#00874","This town will now be known as<br><0>!"
"#00875","You can now enter Town Guide contests!"
"#00876","The Town Guide has awarded you the <0> title!"
"#00877","<0> now has access to the <1>."
"#00878","A new <1> has been built in <0>."
"#00879","Review Bonus!<br><br>You got 50 <pic=tpoint1>Diamond Points!"
"#00880","Rustic Kid"
"#00881","Rustic Squirt"
"#00882","Rustic Girl"
"#00883","Rustic Boy"
"#00884","Rustic Grandma"
"#00885","Rustic Grandpa"
"#00886","Classy Gent"
"#00887","Classy Lady"
"#00888","Soldier"
"#00889","Red Dwarf"
"#00890","Orange Dwarf"
"#00891","Yellow Dwarf"
